season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2013,1,1,KAN,00-0030584,FishEr00,,Eric Fisher,false,T,OL,O,Central Michigan,22,2021,0,2,8,62,,56,132,0,0,0,0,0,0,0,0,1,-3,1,,,
2013,1,2,JAX,00-0030545,JoecLu00,luke-joeckel-1,Luke Joeckel,false,T,OL,O,Texas A&M,21,2017,0,0,3,21,,16,50,0,0,0,0,0,0,0,0,0,0,0,1,,
2013,1,3,MIA,00-0030555,JordDi00,dion-jordan-1,Dion Jordan,false,DE,DL,D,Oregon,23,2020,0,0,0,9,,3,63,0,0,0,0,0,0,0,0,0,0,0,82,,13.5
2013,1,4,PHI,00-0030561,JohnLa01,lane-johnson-1,Lane Johnson,false,T,OL,O,Oklahoma,23,2025,2,6,11,89,,89,168,0,0,0,0,0,0,0,0,1,5,1,,,
2013,1,5,DET,00-0030059,AnsaEz00,ezekiel-ansah-1,Ezekiel Ansah,false,DE,DL,D,BYU,24,2020,0,1,5,39,,37,93,0,0,0,0,0,0,0,0,0,0,0,174,,50.5
2013,1,6,CLE,00-0030558,MingBa00,barkevious-mingo-1,Barkevious Mingo,false,LB,LB,D,LSU,22,2020,0,0,2,24,,10,126,0,0,0,0,0,1,11,0,0,0,0,179,1,12.5
2013,1,7,ARI,00-0030590,CoopJo01,jonathan-cooper-1,Jonathan Cooper,false,G,OL,O,North Carolina,23,2018,0,0,2,16,,7,46,0,0,0,0,0,0,0,0,0,0,0,,,
2013,1,8,STL,00-0030525,AustTa00,tavon-austin-1,Tavon Austin,false,WR,WR,O,West Virginia,23,2021,0,0,4,26,,22,113,0,1,0,0,0,199,1361,10,244,2239,16,3,,
2013,1,9,NYJ,00-0030592,MillDe00,dee-milliner-1,Dee Milliner,false,DB,DB,D,Alabama,21,2015,0,0,1,6,,6,21,0,0,0,0,0,0,0,0,0,0,0,50,3,
2013,1,10,TEN,00-0030593,WarmCh00,chance-warmack-1,Chance Warmack,false,G,OL,O,Alabama,21,2018,0,0,3,22,,20,68,0,0,0,0,0,0,0,0,0,0,0,,,
2013,1,11,SDG,00-0030505,FlukDJ00,dj-fluker-1,D.J. Fluker,false,T,OL,O,Alabama,22,2020,0,0,7,43,,29,108,0,0,0,0,0,0,0,0,0,0,0,,,
2013,1,12,OAK,00-0030572,HaydDJ00,dj-hayden-1,D.J. Hayden,false,DB,DB,D,Houston,23,2021,0,0,2,16,,8,92,0,0,0,0,0,0,0,0,0,0,0,282,4,4.5
2013,1,13,NYJ,00-0030573,RichSh00,sheldon-richardson-1,Sheldon Richardson,false,DT,DL,D,Missouri,22,2021,0,1,8,61,,32,138,0,0,0,0,0,4,4,2,0,0,0,297,1,33.5
2013,1,14,CAR,00-0030455,LotuSt00,star-lotulelei-1,Star Lotulelei,false,DT,DL,D,Utah,23,2021,0,0,7,48,,28,119,0,0,0,0,0,0,0,0,0,0,0,116,1,16.5
2013,1,15,NOR,00-0030060,VaccKe00,kenny-vaccaro-1,Kenny Vaccaro,false,DB,DB,D,Texas,22,2020,0,0,7,34,,20,110,0,0,0,0,0,0,0,0,0,0,0,437,10,11.5
2013,1,16,BUF,00-0030526,ManuEJ00,ej-manuel-1,EJ Manuel,false,QB,QB,O,Florida St.,23,2017,0,0,1,10,,10,30,343,590,3767,20,16,96,339,4,0,0,0,,,
2013,1,17,PIT,00-0030499,JoneJa05,jarvis-jones-1,Jarvis Jones,false,LB,LB,D,Georgia,23,2016,0,0,1,17,,17,50,0,0,0,0,0,0,0,0,0,0,0,84,2,6.0
2013,1,18,SFO,00-0030548,ReidEr00,eric-reid-1,Eric Reid,false,DB,DB,D,LSU,21,2019,0,1,7,33,,26,99,0,0,0,0,0,0,0,0,0,0,0,404,11,6.0
2013,1,19,NYG,00-0030585,PughJu00,justin-pugh-1,Justin Pugh,false,T,OL,O,Syracuse,23,2023,0,0,10,46,,25,132,0,0,0,0,0,0,0,0,0,0,0,2,,
2013,1,20,CHI,00-0030441,LongKy00,,Kyle Long,false,G,OL,O,Oregon,24,2019,0,3,6,40,,40,77,0,0,0,0,0,0,0,0,1,-1,0,,,
2013,1,21,CIN,00-0030549,EifeTy00,tyler-eifert-1,Tyler Eifert,false,TE,TE,O,Notre Dame,22,2020,0,1,2,19,,17,74,0,0,0,0,0,0,0,0,221,2501,26,,,
2013,1,22,ATL,00-0030562,TrufDe00,desmond-trufant-1,Desmond Trufant,false,DB,DB,D,Washington,22,2021,0,1,8,37,,35,113,0,0,0,0,0,0,0,0,0,0,0,302,14,6.0
2013,1,23,MIN,00-0030574,FloySh00,shariff-floyd-1,Sharrif Floyd,false,DT,DL,D,Florida,21,2016,0,0,2,13,,13,44,0,0,0,0,0,0,0,0,0,0,0,57,,9.5
