season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2011,1,1,CAR,00-0027939,NewtCa00,cam-newton-1,Cam Newton,false,QB,QB,O,Auburn,22,2021,1,3,9,115,,107,148,2682,4474,32382,194,123,1118,5628,75,3,68,1,,,
2011,1,2,DEN,00-0027940,MillVo00,von-miller-1,Von Miller,false,LB,LB,D,Texas A&M,22,2025,3,8,10,105,,97,203,0,0,0,0,0,0,0,0,0,0,0,462,2,138.5
2011,1,3,BUF,00-0027941,DareMa00,marcell-dareus-1,Marcell Dareus,false,DT,DL,D,Alabama,21,2019,1,2,7,56,,47,121,0,0,0,0,0,0,0,0,0,0,0,255,,37.5
2011,1,4,CIN,00-0027942,GreeA.00,aj-green-1,A.J. Green,false,WR,WR,O,Georgia,23,2022,0,7,10,77,,71,158,0,0,0,0,0,11,93,0,727,10514,70,,,
2011,1,5,ARI,00-0027943,PetePa00,patrick-peterson-1,Patrick Peterson,false,DB,DB,D,LSU,21,2023,3,8,13,103,,95,201,1,1,17,0,0,7,34,0,10,64,0,571,36,4.0
2011,1,6,ATL,00-0027944,JoneJu02,julio-jones-1,Julio Jones,false,WR,WR,O,Alabama,22,2023,2,7,9,101,,97,166,0,0,0,0,0,24,163,0,914,13703,66,2,,
2011,1,7,SFO,00-0027945,SmitAl04,aldon-smith-1,Aldon Smith,false,DE,DL,D,Missouri,21,2020,1,1,4,34,,24,75,0,0,0,0,0,0,0,0,0,0,0,172,1,52.5
2011,1,8,TEN,00-0027946,LockJa00,jake-locker-1,Jake Locker,false,QB,QB,O,Washington,23,2014,0,0,1,15,,15,30,408,709,4967,27,22,95,644,5,0,0,0,,,
2011,1,9,DAL,00-0027947,SmitTy00,tyron-smith-1,Tyron Smith,false,T,OL,O,USC,20,2024,2,8,12,91,,89,171,0,0,0,0,0,0,0,0,0,0,0,1,,
2011,1,10,JAX,00-0027948,GabbBl00,blaine-gabbert-1,Blaine Gabbert,false,QB,QB,O,Missouri,21,2023,0,0,2,17,,7,69,882,1568,9487,51,50,201,685,3,1,-16,0,,,
