season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2015,1,1,TAM,00-0031503,WinsJa00,jameis-winston-1,Jameis Winston,false,QB,QB,O,Florida St.,21,2025,0,1,5,63,,54,108,1981,3244,24792,156,113,330,1320,13,1,33,1,,,
2015,1,2,TEN,00-0032268,MariMa01,marcus-mariota-1,Marcus Mariota,false,QB,QB,O,Oregon,21,2025,0,0,5,60,,43,104,1500,2389,17879,107,62,425,2453,19,2,62,1,1,,
2015,1,3,JAX,00-0032052,FowlDa00,dante-fowler-jr-1,Dante Fowler,false,OLB,LB,D,Florida,21,2025,0,0,2,31,,5,159,0,0,0,0,0,0,0,0,0,0,0,202,1,58.5
2015,1,4,OAK,00-0031544,CoopAm00,amari-cooper-1,Amari Cooper,false,WR,WR,O,Alabama,21,2024,0,5,9,66,,22,154,0,1,0,0,1,14,41,0,711,10033,64,2,,
2015,1,5,WAS,00-0032053,ScheBr00,brandon-scherff-1,Brandon Scherff,false,T,OL,O,Iowa,23,2024,1,5,10,62,,45,140,0,0,0,0,0,0,0,0,0,0,0,1,,
2015,1,6,NYJ,00-0031933,WillLe02,leonard-williams-1,Leonard Williams,false,DE,DL,D,USC,21,2025,0,3,9,78,,26,175,0,0,0,0,0,0,0,0,0,0,0,331,2,61.5
2015,1,7,CHI,00-0031545,WhitKe00,kevin-white-6,Kevin White,false,WR,WR,O,West Virginia,23,2022,0,0,0,3,,2,30,0,0,0,0,0,1,9,0,28,397,0,2,,
2015,1,8,ATL,00-0032240,BeasVi00,vic-beasley-1,Vic Beasley,false,OLB,LB,D,Clemson,23,2020,1,1,5,32,,32,88,0,0,0,0,0,0,0,0,0,0,0,122,1,37.5
2015,1,9,NYG,00-0032259,FlowEr00,ereck-flowers-1,Ereck Flowers,false,T,OL,O,Miami (FL),21,2021,0,0,7,35,,18,105,0,0,0,0,0,0,0,0,1,-11,0,,,
2015,1,10,STL,00-0032241,GurlTo01,todd-gurley-1,Todd Gurley,false,RB,RB,O,Georgia,21,2020,2,3,6,54,,50,88,0,0,0,0,0,1460,6082,67,243,2254,12,,,
2015,1,11,MIN,00-0031546,WaynTr00,trae-waynes-1,Trae Waynes,false,CB,DB,D,Michigan St.,23,2021,0,0,3,18,,18,79,0,0,0,0,0,0,0,0,0,0,0,226,7,1.0
2015,1,12,CLE,00-0032143,ShelDa01,danny-shelton-1,Danny Shelton,false,NT,DL,D,Washington,22,2022,0,0,5,33,,15,101,0,0,0,0,0,0,0,0,0,0,0,138,,6.0
2015,1,13,NOR,00-0032203,PeatAn00,andrus-peat-1,Andrus Peat,false,T,OL,O,Stanford,21,2025,0,3,7,53,,52,132,0,0,0,0,0,0,0,0,0,0,0,,,
2015,1,14,MIA,00-0031547,ParkDe01,devante-parker-1,DeVante Parker,false,WR,WR,O,Louisville,22,2023,0,0,6,36,,32,119,0,0,0,0,0,0,0,0,402,5660,27,3,,
2015,1,15,SDG,00-0032144,GordMe00,melvin-gordon-1,Melvin Gordon,false,RB,RB,O,Wisconsin,22,2023,0,2,7,51,,38,112,0,0,0,0,0,1593,6543,56,312,2513,14,,,
2015,1,16,HOU,00-0031548,JohnKe04,kevin-johnson-7,Kevin Johnson,false,CB,DB,D,Wake Forest,23,2020,0,0,0,11,,8,64,0,0,0,0,0,0,0,0,0,0,0,153,1,1.5
2015,1,17,SFO,00-0032164,ArmsAr01,arik-armstead-1,Arik Armstead,false,DT,DL,D,Oregon,21,2025,0,0,6,45,,40,149,0,0,0,0,0,0,0,0,0,0,0,211,,41.0
2015,1,18,KAN,00-0032165,PeteMa00,marcus-peters-1,Marcus Peters,false,CB,DB,D,Washington,22,2023,2,3,7,63,,32,116,0,0,0,0,0,0,0,0,0,0,0,312,33,2.0
2015,1,19,CLE,00-0032145,ErviCa00,cameron-erving-1,Cameron Erving,false,C,OL,O,Florida St.,23,2023,0,0,3,28,,6,98,0,0,0,0,0,0,0,0,0,0,0,,,
2015,1,20,PHI,00-0031549,AghoNe00,nelson-agholor-1,Nelson Agholor,false,WR,WR,O,USC,22,2024,0,0,7,36,,18,149,1,1,15,0,0,14,71,0,389,4858,37,1,,
2015,1,21,CIN,00-0032233,OgbuCe00,cedric-ogbuehi-1,Cedric Ogbuehi,false,T,OL,O,Texas A&M,23,2022,0,0,2,17,,11,67,0,0,0,0,0,0,0,0,0,0,0,,,
2015,1,22,PIT,00-0032146,DuprAl00,alvin-dupree-1,Bud Dupree,false,OLB,LB,D,Kentucky,22,2025,0,0,6,46,,30,152,0,0,0,0,0,0,0,0,0,0,0,240,2,61.0
