season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2010,1,1,STL,00-0027854,BradSa00,sam-bradford-1,Sam Bradford,false,QB,QB,O,Oklahoma,22,2018,0,0,5,44,,25,83,1855,2967,19449,103,61,146,340,2,1,5,0,,,
2010,1,2,DET,00-0027855,SuhxNd99,ndamukong-suh-1,Ndamukong Suh,false,DT,DL,D,Nebraska,23,2022,3,5,12,100,,59,199,0,0,0,0,0,0,0,0,0,0,0,392,1,71.5
2010,1,3,TAM,00-0027856,McCoGe99,gerald-mccoy-1,Gerald McCoy,false,DT,DL,D,Oklahoma,22,2021,1,6,10,69,,65,140,0,0,0,0,0,0,0,0,0,0,0,235,,59.5
2010,1,4,WAS,00-0027857,WillTr21,trent-williams-2,Trent Williams,false,T,OL,O,Oklahoma,22,2025,3,12,14,109,,47,204,0,0,0,0,0,0,0,0,0,0,0,1,,
2010,1,5,KAN,00-0027858,BerrEr99,eric-berry-1,Eric Berry,false,DB,DB,D,Tennessee,21,2018,3,5,5,50,,50,89,0,0,0,0,0,0,0,0,0,0,0,377,14,5.5
2010,1,6,SEA,00-0027859,OkunRu20,russell-okung-1,Russell Okung,false,T,OL,O,Oklahoma St.,21,2020,0,2,9,56,,31,131,0,0,0,0,0,0,0,0,0,0,0,1,,
2010,1,7,CLE,00-0027860,HadeJo99,joe-haden-1,Joe Haden,false,DB,DB,D,Florida,21,2021,0,3,10,62,,39,158,0,0,0,0,0,0,0,0,0,0,0,504,29,3.0
2010,1,8,OAK,00-0027904,McClRo00,rolando-mcclain-1,Rolando McClain,false,LB,LB,D,Alabama,21,2015,0,0,5,25,,15,65,0,0,0,0,0,0,0,0,0,0,0,288,4,9.5
2010,1,9,BUF,00-0027861,SpilC.00,cj-spiller-1,C.J. Spiller,false,RB,RB,O,Clemson,23,2017,0,1,3,34,,32,90,0,0,0,0,0,712,3451,12,198,1484,9,2,,
2010,1,10,JAX,00-0027862,AluaTy99,tyson-alualu-1,Tyson Alualu,false,DT,DL,D,California,23,2023,0,0,7,45,,33,193,0,0,0,0,0,1,0,0,2,19,0,262,,25.0
2010,1,11,SFO,00-0027863,DaviAn27,anthony-davis-2,Anthony Davis,false,T,OL,O,Rutgers,20,2016,0,0,4,31,,31,72,0,0,0,0,0,0,0,0,0,0,0,,,
2010,1,12,SDG,00-0027864,MathRy00,ryan-mathews-1,Ryan Mathews,false,RB,RB,O,Fresno St.,22,2016,0,1,5,44,,37,86,0,0,0,0,0,1184,5261,37,179,1371,3,,,
2010,1,13,PHI,00-0027865,GrahBr99,brandon-graham-1,Brandon Graham,false,DE,DL,D,Michigan,22,2025,0,1,6,59,,59,215,0,0,0,0,0,0,0,0,0,0,0,363,,79.5
2010,1,14,SEA,00-0027866,ThomEa99,earl-thomas-1,Earl Thomas,false,DB,DB,D,Texas,21,2019,3,7,9,82,,76,140,0,0,0,0,0,0,0,0,0,0,0,497,30,2.0
2010,1,15,NYG,00-0027867,PierJa99,jason-pierre-paul-1,Jason Pierre-Paul,false,DE,DL,D,South Florida,21,2025,1,3,11,74,,46,185,0,0,0,0,0,0,0,0,0,0,0,456,5,94.5
2010,1,16,TEN,00-0027868,MorgDe99,derrick-morgan-1,Derrick Morgan,false,DE,DL,D,Georgia Tech,21,2018,0,0,8,40,,40,118,0,0,0,0,0,0,0,0,0,0,0,208,,44.5
2010,1,17,SFO,00-0027869,IupaMi20,mike-iupati-1,Mike Iupati,false,G,OL,O,Idaho,23,2020,1,4,10,67,,42,140,0,0,0,0,0,0,0,0,1,10,0,1,,
2010,1,18,PIT,00-0027870,PounMa20,maurkice-pouncey-1,Maurkice Pouncey,false,C,OL,O,Florida,21,2020,2,9,9,78,,78,134,0,0,0,0,0,0,0,0,1,0,0,,,
2010,1,19,ATL,00-0027871,WeatSe99,sean-weatherspoon-1,Sean Weatherspoon,false,LB,LB,D,Missouri,22,2017,0,0,2,22,,22,67,0,0,0,0,0,0,0,0,0,0,0,244,2,8.0
2010,1,20,HOU,00-0027872,JackKa99,kareem-jackson-1,Kareem Jackson,false,DB,DB,D,Alabama,22,2024,0,0,12,52,,30,205,0,0,0,0,0,0,0,0,0,0,0,739,22,3.0
2010,1,21,CIN,00-0027873,GresJe00,jermaine-gresham-1,Jermaine Gresham,false,TE,TE,O,Oklahoma,22,2018,0,2,9,28,,22,132,0,0,0,0,0,0,0,0,377,3752,29,1,,
2010,1,22,DEN,00-0027874,ThomDe03,demaryius-thomas-1,Demaryius Thomas,false,WR,WR,O,Georgia Tech,22,2019,0,5,8,69,,65,143,0,1,0,0,0,3,6,0,724,9763,63,2,,
2010,1,23,GNB,00-0027875,BulaBr20,,Bryan Bulaga,false,T,OL,O,Iowa,21,2021,0,0,9,56,,53,126,0,0,0,0,0,0,0,0,0,0,0,,,
2010,1,24,DAL,00-0027902,BryaDe01,dez-bryant-1,Dez Bryant,false,WR,WR,O,Oklahoma St.,21,2020,1,3,7,61,,61,119,1,1,10,1,0,6,-3,0,537,7506,75,,,
2010,1,25,DEN,00-0027876,TeboTi00,tim-tebow-1,Tim Tebow,false,QB,QB,O,Florida,23,2012,0,0,1,12,,11,35,173,361,2422,17,9,197,989,12,0,0,0,1,,
2010,1,26,ARI,00-0027877,WillDa99,dan-williams-2,Dan Williams,false,DT,DL,D,Tennessee,23,2016,0,0,6,29,,20,102,0,0,0,0,0,0,0,0,0,0,0,154,1,3.5
2010,1,27,NWE,00-0027647,McCoDe99,devin-mccourty-1,Devin McCourty,false,DB,DB,D,Rutgers,23,2022,0,2,13,71,,71,205,0,0,0,0,0,0,0,0,0,0,0,740,35,3.0
2010,1,28,MIA,00-0027878,OdriJa99,jared-odrick-1,Jared Odrick,false,DE,DL,D,Penn St.,22,2016,0,0,3,29,,20,87,0,0,0,0,0,0,0,0,0,0,0,135,1,23.0
2010,1,29,NYJ,00-0027879,WilsKy99,kyle-wilson-1,Kyle Wilson,false,DB,DB,D,Boise St.,23,2015,0,0,2,16,,14,95,0,0,0,0,0,0,0,0,0,0,0,167,4,1.0
2010,1,30,DET,00-0027880,BestJa00,jahvid-best-1,Jahvid Best,false,RB,RB,O,California,21,2011,0,0,2,13,,13,22,0,1,0,0,0,255,945,6,85,774,3,,,
2010,1,31,IND,00-0027881,HughJe99,jerry-hughes-1,Jerry Hughes,false,DE,DL,D,TCU,22,2024,0,0,9,68,,3,225,0,0,0,0,0,0,0,0,0,0,0,323,2,70.0
2010,1,32,NOR,00-0027882,RobiPa99,patrick-robinson-1,Patrick Robinson,false,DB,DB,D,Florida St.,23,2020,0,0,1,25,,15,123,0,0,0,0,0,0,0,0,0,0,0,281,16,2.0
2010,2,33,STL,00-0027648,SaffRo20,rodger-saffold-1,Rodger Saffold,false,T,OL,O,Indiana,22,2022,0,2,11,71,,41,176,0,0,0,0,0,0,0,0,0,0,0,,,
2010,2,34,MIN,00-0027649,CookCh99,chris-cook-2,Chris Cook,false,DB,DB,D,Virginia,23,2014,0,0,2,10,,10,40,0,0,0,0,0,0,0,0,0,0,0,107,,1.0
2010,2,35,TAM,00-0027650,PricBr99,brian-price-1,Brian Price,false,DT,DL,D,UCLA,21,2011,0,0,1,4,,4,20,0,0,0,0,0,0,0,0,0,0,0,23,,3.0
2010,2,36,KAN,00-0027651,McClDe00,dexter-mccluster-1,Dexter McCluster,false,WR,WR,O,Mississippi,21,2016,0,1,1,21,,17,89,0,0,0,0,0,250,1042,2,236,1993,7,1,,
2010,2,37,PHI,00-0027652,AlleNa99,nate-allen-1,Nate Allen,false,DB,DB,D,South Florida,22,2017,0,0,5,29,,25,100,0,0,0,0,0,0,0,0,0,0,0,303,13,4.0
2010,2,38,CLE,00-0027653,WardT.99,tj-ward-1,T.J. Ward,false,DB,DB,D,Oregon,23,2017,0,3,7,41,,24,107,0,0,0,0,0,0,0,0,0,0,0,458,8,8.5
2010,2,39,TAM,00-0027654,BennAr00,arrelious-benn-1,Arrelious Benn,false,WR,WR,O,Illinois,21,2017,0,0,2,8,,7,61,0,0,0,0,0,15,44,0,65,990,6,24,,
2010,2,40,MIA,00-0027883,MisiKo99,koa-misi-1,Koa Misi,false,LB,LB,D,Utah,23,2016,0,0,6,30,,30,84,0,0,0,0,0,0,0,0,0,0,0,258,,12.0
2010,2,41,BUF,00-0027655,TrouTo00,,Torell Troup,false,DT,DL,D,Central Florida,21,2011,0,0,0,2,,2,21,0,0,0,0,0,0,0,0,0,0,0,17,,
2010,2,42,NWE,00-0027656,GronRo00,rob-gronkowski-1,Rob Gronkowski,false,TE,TE,O,Arizona,21,2021,4,5,11,78,,70,143,0,0,0,0,0,1,2,1,621,9286,92,,,
2010,2,43,BAL,00-0027884,KindSe99,sergio-kindle-1,Sergio Kindle,false,LB,LB,D,Texas,22,2012,0,0,0,0,,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,
2010,2,44,OAK,00-0027657,HousLa99,lamarr-houston-1,Lamarr Houston,false,DE,DL,D,Texas,23,2017,0,0,5,31,,25,100,0,0,0,0,0,0,0,0,0,0,0,231,1,30.5
2010,2,45,DEN,00-0027658,BeadZa20,zane-beadles-1,Zane Beadles,false,G,OL,O,Utah,23,2018,0,1,7,53,,32,137,0,0,0,0,0,0,0,0,0,0,0,,,
2010,2,46,NYG,00-0027885,JoseLi99,linval-joseph-1,Linval Joseph,false,DT,DL,D,East Carolina,21,2024,0,2,11,70,,16,203,0,0,0,0,0,0,0,0,0,0,0,403,,28.5
2010,2,47,ARI,00-0027886,WashDa99,daryl-washington-1,Daryl Washington,false,LB,LB,D,TCU,23,2013,0,1,4,34,,34,59,0,0,0,0,0,0,0,0,0,0,0,329,6,18.0
2010,2,48,CAR,00-0027659,ClauJi00,jimmy-clausen-1,Jimmy Clausen,false,QB,QB,O,Notre Dame,22,2015,0,0,1,3,,0,21,255,472,2520,7,14,37,102,0,0,0,0,,,
2010,2,49,SFO,00-0027887,MaysTa99,taylor-mays-1,Taylor Mays,false,DB,DB,D,USC,22,2015,0,0,0,9,,3,80,0,0,0,0,0,0,0,0,0,0,0,89,,1.0
2010,2,50,KAN,00-0027660,ArenJa99,javier-arenas-1,Javier Arenas,false,DB,DB,D,Alabama,22,2014,0,0,1,9,,8,69,0,0,0,0,0,4,17,1,0,0,0,137,2,5.0
