season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2004,1,1,SDG,00-0022803,MannEl00,eli-manning-1,Eli Manning,false,QB,QB,O,Mississippi,23,2019,0,4,14,121,,,236,4895,8119,57023,366,244,315,567,7,0,0,0,,,
2004,1,2,OAK,00-0022836,GallRo20,robert-gallery-1,Robert Gallery,false,T,OL,O,Iowa,24,2011,0,0,7,38,,35,104,0,0,0,0,0,0,0,0,0,0,0,,,
2004,1,3,ARI,00-0022921,FitzLa00,larry-fitzgerald-1,Larry Fitzgerald,true,WR,WR,O,Pittsburgh,21,2020,1,11,17,93,,93,263,2,4,53,1,0,20,68,0,1432,17492,121,,,
2004,1,4,NYG,00-0022942,RivePh00,philip-rivers-1,Philip Rivers,false,QB,QB,O,North Carolina St.,22,2025,0,8,15,150,,,247,5335,8226,63984,425,212,385,600,3,0,-9,0,,,
2004,1,5,WAS,00-0022777,TaylSe20,sean-taylor-1,Sean Taylor,false,DB,DB,D,Miami (FL),21,2007,0,2,4,32,,32,55,0,0,0,0,0,0,0,0,0,0,0,243,12,2.0
2004,1,6,CLE,00-0022922,WinsKe01,kellen-winslow-1,Kellen Winslow,false,TE,TE,O,Miami (FL),21,2013,0,1,5,37,,19,105,0,0,0,0,0,1,7,0,469,5236,25,,,
2004,1,7,DET,00-0022909,WillRo04,roy-williams-3,Roy Williams,false,WR,WR,O,Texas,22,2011,0,1,7,42,,30,115,0,1,0,0,0,6,17,0,393,5715,44,1,,
2004,1,8,ATL,00-0022923,HallDe99,deangelo-hall-1,DeAngelo Hall,false,DB,DB,D,Virginia Tech,20,2017,0,3,10,61,,28,171,0,0,0,0,0,0,0,0,1,0,0,638,43,2.0
2004,1,9,JAX,00-0022889,WillRe00,reggie-williams-1,Reggie Williams,false,WR,WR,O,Washington,21,2008,0,0,3,23,,23,79,0,0,0,0,0,11,44,0,189,2322,18,,,
2004,1,10,HOU,00-0022735,RobiDu20,dunta-robinson-1,Dunta Robinson,false,DB,DB,D,South Carolina,22,2013,0,0,8,41,,23,139,0,0,0,0,0,0,0,0,0,0,0,504,17,5.5
2004,1,11,PIT,00-0022924,RoetBe00,ben-roethlisberger-1,Ben Roethlisberger,false,QB,QB,O,Miami (OH),22,2021,0,6,17,131,,131,249,5440,8443,64088,418,211,515,1373,20,2,-12,0,,,
2004,1,12,NYJ,00-0022778,VilmJo99,jonathan-vilma-1,Jonathan Vilma,false,LB,LB,D,Miami (FL),22,2013,0,3,8,56,,25,125,0,0,0,0,0,0,0,0,0,0,0,617,12,10.5
2004,1,13,BUF,00-0022910,EvanLe00,lee-evans-1,Lee Evans,false,WR,WR,O,Wisconsin,23,2011,0,0,7,47,,47,118,0,1,0,0,0,10,145,0,381,6008,43,,,
2004,1,14,CHI,00-0022837,HarrTo99,tommie-harris-1,Tommie Harris,false,DT,DL,D,Oklahoma,21,2011,0,3,6,56,,55,117,0,0,0,0,0,0,0,0,0,0,0,187,1,31.5
2004,1,15,TAM,00-0022725,ClayMi00,michael-clayton-1,Michael Clayton,false,WR,WR,O,LSU,21,2011,0,0,5,22,,22,95,0,1,0,0,0,18,100,0,223,2955,10,4,,
2004,1,16,PHI,00-0022779,AndrSh55,shawn-andrews-1,Shawn Andrews,false,G,OL,O,Arkansas,21,2010,1,2,3,35,,32,63,0,0,0,0,0,0,0,0,0,0,0,,,
2004,1,17,DEN,00-0022780,WillD.20,dj-williams-2,D.J. Williams,false,LB,LB,D,Miami (FL),22,2014,0,0,9,48,,45,145,0,0,0,0,0,0,0,0,0,0,0,678,2,22.5
2004,1,18,NOR,00-0022911,SmitWi99,will-smith-1,Will Smith,false,DE,DL,D,Ohio St.,23,2012,0,1,7,52,,52,139,0,0,0,0,0,0,0,0,0,0,0,329,2,67.5
2004,1,19,MIA,00-0022890,CareVe20,,Vernon Carey,false,T,OL,O,Miami (FL),23,2011,0,0,7,44,,44,121,0,0,0,0,0,0,0,0,0,0,0,,,
2004,1,20,MIN,00-0022891,UdezKe20,kenechi-udeze-1,Kenechi Udeze,false,DE,DL,D,USC,21,2007,0,0,3,20,,20,51,0,0,0,0,0,0,0,0,0,0,0,86,,11.0
2004,1,21,NWE,00-0022712,WilfVi20,vince-wilfork-1,Vince Wilfork,false,NT,DL,D,Miami (FL),22,2016,1,5,11,90,,81,189,0,0,0,0,0,0,0,0,0,0,0,367,3,16.0
2004,1,22,BUF,00-0022912,LosmJ.00,jp-losman-1,J.P. Losman,false,QB,QB,O,Tulane,23,2011,0,0,1,19,,19,45,564,952,6271,33,34,105,490,3,0,0,0,,,
2004,1,23,SEA,00-0022925,TubbMa20,,Marcus Tubbs,false,DT,DL,D,Texas,23,2006,0,0,1,9,,9,29,0,0,0,0,0,0,0,0,0,0,0,37,,7.0
2004,1,24,STL,00-0022736,JackSt00,steven-jackson-3,Steven Jackson,false,RB,RB,O,Oregon St.,21,2015,0,3,10,75,,68,160,1,1,2,1,0,2764,11438,69,461,3683,9,,,
2004,1,25,GNB,00-0022913,CarrAh20,ahmad-carroll-1,Ahmad Carroll,false,DB,DB,D,Arkansas,21,2009,0,0,2,14,,13,57,0,0,0,0,0,0,0,0,0,11,0,117,3,3.0
