season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2007,1,1,OAK,00-0025388,RussJa00,jamarcus-russell-1,JaMarcus Russell,false,QB,QB,O,LSU,22,2009,0,0,2,6,,6,31,354,680,4083,18,23,40,175,1,0,0,0,,,
2007,1,2,DET,00-0025389,JohnCa00,calvin-johnson-1,Calvin Johnson,true,WR,WR,O,Georgia Tech,21,2015,3,6,9,78,,78,135,0,0,0,0,0,19,167,1,731,11619,83,,,
2007,1,3,CLE,00-0025390,ThomJo28,joe-thomas-2,Joe Thomas,true,T,OL,O,Wisconsin,22,2017,6,10,10,85,,85,167,0,0,0,0,0,0,0,0,0,0,0,,,
2007,1,4,TAM,00-0025391,AdamGa99,gaines-adams-1,Gaines Adams,false,DE,DL,D,Clemson,24,2009,0,0,1,17,,17,47,0,0,0,0,0,0,0,0,0,0,0,67,2,13.5
2007,1,5,ARI,00-0025392,BrowLe20,levi-brown-2,Levi Brown,false,T,OL,O,Penn St.,23,2013,0,0,5,34,,34,81,0,0,0,0,0,0,0,0,1,4,0,,,
2007,1,6,WAS,00-0025393,LandLa99,laron-landry-1,LaRon Landry,false,DB,DB,D,LSU,22,2014,0,1,7,39,,26,103,0,0,0,0,0,0,0,0,0,0,0,467,6,8.0
2007,1,7,MIN,00-0025394,PeteAd01,adrian-peterson-1,Adrian Peterson,false,RB,RB,O,Oklahoma,22,2021,4,7,12,101,,89,184,0,0,0,0,0,3230,14918,120,305,2474,6,,,
2007,1,8,ATL,00-0025395,AndeJa98,jamaal-anderson-1,Jamaal Anderson,false,DE,DL,D,Arkansas,21,2012,0,0,3,20,,19,77,0,0,0,0,0,0,0,0,0,0,0,96,,7.5
2007,1,9,MIA,00-0025396,GinnTe00,ted-ginn-jr-1,Ted Ginn Jr.,false,WR,WR,O,Ohio St.,22,2020,0,0,7,52,,15,193,1,1,10,0,0,68,486,2,412,5742,33,6,,
2007,1,10,HOU,00-0025397,OkoyAm99,amobi-okoye-1,Amobi Okoye,false,DT,DL,D,Louisville,20,2012,0,0,4,24,,21,87,0,0,0,0,0,0,0,0,0,0,0,118,,16.0
2007,1,11,SFO,00-0025398,WillPa98,patrick-willis-1,Patrick Willis,true,LB,LB,D,Mississippi,22,2014,5,7,7,93,,93,112,0,0,0,0,0,0,0,0,0,0,0,733,8,20.5
2007,1,12,BUF,00-0025399,LyncMa00,marshawn-lynch-1,Marshawn Lynch,false,RB,RB,O,California,21,2019,1,5,8,74,,15,149,1,3,8,1,0,2453,10413,85,287,2214,9,1,,
2007,1,13,STL,00-0025400,CarrAd99,adam-carriker-1,Adam Carriker,false,DE,DL,D,Nebraska,23,2012,0,0,3,22,,9,65,0,0,0,0,0,0,0,0,0,0,0,86,,9.0
2007,1,14,NYJ,00-0025401,ReviDa99,darrelle-revis-1,Darrelle Revis,true,DB,DB,D,Pittsburgh,22,2017,4,7,9,93,,76,145,0,0,0,0,0,0,0,0,0,-1,0,411,29,2.0
2007,1,15,PIT,00-0025402,TimmLa99,lawrence-timmons-1,Lawrence Timmons,false,LB,LB,D,Florida St.,21,2017,0,1,9,72,,68,172,0,0,0,0,0,0,0,0,0,0,0,737,12,35.5
2007,1,16,GNB,00-0025403,HarrJu99,justin-harrell-1,Justin Harrell,false,DT,DL,D,Tennessee,23,2010,0,0,0,2,,2,14,0,0,0,0,0,0,0,0,0,0,0,17,,
2007,1,17,DEN,00-0025404,MossJa99,jarvis-moss-1,Jarvis Moss,false,DE,DL,D,Florida,23,2011,0,0,0,3,,2,53,0,0,0,0,0,0,0,0,0,0,0,34,,6.0
2007,1,18,CIN,00-0025405,HallLe98,leon-hall-1,Leon Hall,false,DB,DB,D,Michigan,22,2018,0,0,6,51,,49,152,0,0,0,0,0,0,0,0,0,0,0,425,27,2.0
2007,1,19,TEN,00-0025406,GrifMi99,michael-griffin-1,Michael Griffin,false,DB,DB,D,Texas,22,2016,0,2,9,55,,53,154,0,0,0,0,0,0,0,0,0,0,0,605,25,7.0
2007,1,20,NYG,00-0025407,RossAa99,aaron-ross-1,Aaron Ross,false,DB,DB,D,Texas,24,2013,0,0,4,20,,17,83,0,0,0,0,0,0,0,0,0,0,0,201,11,2.5
2007,1,21,JAX,00-0025408,NelsRe99,reggie-nelson-1,Reggie Nelson,false,DB,DB,D,Florida,23,2018,0,2,11,63,,12,181,0,0,0,0,0,0,0,0,0,0,0,618,38,6.5
2007,1,22,CLE,00-0025409,QuinBr00,brady-quinn-1,Brady Quinn,false,QB,QB,O,Notre Dame,22,2012,0,0,1,2,,3,24,296,550,3043,12,17,44,185,1,1,18,0,,,
2007,1,23,KAN,00-0025410,BoweDw00,dwayne-bowe-1,Dwayne Bowe,false,WR,WR,O,LSU,22,2015,0,1,8,50,,50,125,0,0,0,0,0,2,16,0,537,7208,44,,,
2007,1,24,NWE,00-0025411,MeriBr99,brandon-meriweather-1,Brandon Meriweather,false,DB,DB,D,Miami (FL),23,2015,0,2,6,33,,22,112,0,0,0,0,0,0,0,0,0,0,0,337,17,6.0
2007,1,25,CAR,00-0025412,BeasJo99,jon-beason-1,Jon Beason,false,LB,LB,D,Miami (FL),22,2015,1,3,5,55,,48,93,0,0,0,0,0,0,0,0,0,0,0,526,10,4.0
2007,1,26,DAL,00-0025413,SpenAn99,anthony-spencer-1,Anthony Spencer,false,DE,DL,D,Purdue,23,2014,0,1,4,34,,34,104,0,0,0,0,0,0,0,0,0,0,0,272,1,33.0
2007,1,27,NOR,00-0025414,MeacRo00,robert-meachem-1,Robert Meachem,false,WR,WR,O,Tennessee,22,2014,0,0,1,26,,25,103,0,0,0,0,0,18,127,1,178,2914,27,,,
2007,1,28,SFO,00-0025415,StalJo20,joe-staley-2,Joe Staley,false,T,OL,O,Central Michigan,23,2019,0,6,12,81,,81,181,0,0,0,0,0,0,0,0,3,26,0,1,,
2007,1,29,BAL,00-0025416,GrubBe20,ben-grubbs-1,Ben Grubbs,false,G,OL,O,Auburn,23,2015,0,2,9,56,,26,129,0,0,0,0,0,0,0,0,0,0,0,,,
2007,1,30,SDG,00-0025417,DaviCr00,craig-davis-1,Craig Davis,false,WR,WR,O,LSU,21,2010,0,0,0,7,,7,25,0,0,0,0,0,4,13,0,51,558,2,,,
2007,1,31,CHI,00-0025418,OlseGr00,greg-olsen-1,Greg Olsen,false,TE,TE,O,Miami (FL),22,2020,0,3,11,60,,11,199,0,0,0,0,0,0,0,0,742,8683,60,,,
2007,1,32,IND,00-0025419,GonzAn00,anthony-gonzalez-1,Anthony Gonzalez,false,WR,WR,O,Ohio St.,22,2011,0,0,1,16,,16,40,0,0,0,0,0,0,0,0,99,1307,7,,,
2007,2,33,ARI,00-0025420,BranAl99,alan-branch-1,Alan Branch,false,DT,DL,D,Michigan,22,2017,0,0,6,42,,4,146,0,0,0,0,0,0,0,0,0,0,0,185,,10.5
2007,2,34,BUF,00-0025421,PoluPa99,paul-posluszny-1,Paul Posluszny,false,LB,LB,D,Penn St.,22,2017,0,1,9,58,,17,145,0,0,0,0,0,0,0,0,0,0,0,882,15,16.0
2007,2,35,TAM,00-0025422,SearAr20,arron-sears-1,Arron Sears,false,G,OL,O,Tennessee,22,2008,0,0,2,14,,14,31,0,0,0,0,0,0,0,0,0,0,0,,,
2007,2,36,PHI,00-0025423,KolbKe00,kevin-kolb-1,Kevin Kolb,false,QB,QB,O,Houston,23,2012,0,0,1,12,,5,34,449,755,5206,28,25,69,229,2,0,0,0,,,
2007,2,37,SDG,00-0025424,WeddEr99,eric-weddle-1,Eric Weddle,false,DB,DB,D,Utah,22,2021,2,6,12,88,,64,201,0,1,0,0,0,5,24,0,0,0,0,903,29,9.5
2007,2,38,OAK,00-0025425,MillZa01,zach-miller-1,Zach Miller,false,TE,TE,O,Arizona St.,21,2014,0,1,7,28,,20,110,0,0,0,0,0,0,0,0,328,3804,20,,,
2007,2,39,ATL,00-0025426,BlalJu20,justin-blalock-1,Justin Blalock,false,G,OL,O,Texas,23,2014,0,0,8,55,,55,125,0,0,0,0,0,0,0,0,0,0,0,,,
2007,2,40,MIA,00-0025427,BeckJo00,john-beck-1,John Beck,false,QB,QB,O,BYU,26,2011,0,0,0,4,,2,9,140,239,1417,3,7,19,55,3,0,0,0,,,
