season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2009,1,1,DET,00-0026498,StafMa00,matthew-stafford-1,Matthew Stafford,false,QB,QB,O,Georgia,21,2025,1,3,15,133,,91,239,5562,8763,64516,423,196,470,1357,15,2,-3,0,1,,
2009,1,2,STL,00-0026979,SmitJa22,jason-smith-3,Jason Smith,false,T,OL,O,Baylor,23,2012,0,0,2,10,,9,45,0,0,0,0,0,0,0,0,0,0,0,,,
2009,1,3,KAN,00-0026980,JackTy98,tyson-jackson-1,Tyson Jackson,false,DE,DL,D,LSU,23,2016,0,0,7,34,,23,122,0,0,0,0,0,0,0,0,0,0,0,167,,9.0
2009,1,4,SEA,00-0026981,CurrAa99,aaron-curry-1,Aaron Curry,false,LB,LB,D,Wake Forest,23,2012,0,0,3,16,,12,48,0,0,0,0,0,0,0,0,0,0,0,163,,5.5
2009,1,5,NYJ,00-0026898,SancMa00,mark-sanchez-1,Mark Sanchez,false,QB,QB,O,USC,22,2018,0,0,4,32,,26,79,1314,2320,15357,86,89,170,457,13,0,0,0,,,
2009,1,6,CIN,00-0026982,SmitAn23,andre-smith-3,Andre Smith,false,T,OL,O,Alabama,22,2021,0,0,8,41,,37,121,0,0,0,0,0,0,0,0,0,0,0,,,
2009,1,7,OAK,00-0026983,HeywDa00,darrius-heyward-bey-1,Darrius Heyward-Bey,false,WR,WR,O,Maryland,22,2018,0,0,5,23,,17,144,0,0,0,0,0,15,194,2,202,2897,16,17,,
2009,1,8,JAX,00-0026984,MonrEu20,eugene-monroe-1,Eugene Monroe,false,T,OL,O,Virginia,22,2015,0,0,6,32,,22,93,0,0,0,0,0,0,0,0,0,0,0,,,
2009,1,9,GNB,00-0026985,RajiBJ99,bj-raji-1,B.J. Raji,false,DT,DL,D,Boston Col.,23,2015,0,1,5,33,,33,91,0,0,0,0,0,1,1,1,0,0,0,103,,11.0
2009,1,10,SFO,00-0026986,CrabMi00,michael-crabtree-1,Michael Crabtree,false,WR,WR,O,Texas Tech,21,2019,0,0,10,53,,33,143,0,0,0,0,0,3,18,0,637,7499,54,,,
2009,1,11,BUF,00-0026987,MaybAa99,aaron-maybin-1,Aaron Maybin,false,DE,DL,D,Penn St.,21,2012,0,0,0,5,,2,48,0,0,0,0,0,0,0,0,0,0,0,27,,6.0
2009,1,12,DEN,00-0026988,MoreKn00,knowshon-moreno-1,Knowshon Moreno,false,RB,RB,O,Georgia,22,2014,0,0,3,33,,32,63,0,0,0,0,0,876,3616,27,158,1409,9,,,
2009,1,13,WAS,00-0026989,OrakBr99,brian-orakpo-1,Brian Orakpo,false,LB,LB,D,Texas,23,2018,0,4,8,58,,33,132,0,0,0,0,0,0,0,0,0,0,0,294,1,66.0
2009,1,14,NOR,00-0026990,JenkMa99,malcolm-jenkins-1,Malcolm Jenkins,false,DB,DB,D,Ohio St.,21,2021,0,3,12,68,,32,199,0,0,0,0,0,0,0,0,0,0,0,804,21,13.5
2009,1,15,HOU,00-0026991,CushBr99,brian-cushing-1,Brian Cushing,false,LB,LB,D,USC,22,2017,0,1,7,52,,52,104,0,0,0,0,0,0,0,0,0,0,0,424,8,13.5
2009,1,16,SDG,00-0026992,EnglLa99,larry-english-1,Larry English,false,LB,LB,D,Northern Illinois,23,2014,0,0,1,7,,7,64,0,0,0,0,0,0,0,0,0,0,0,70,,12.0
2009,1,17,TAM,00-0026993,FreeJo00,josh-freeman-1,Josh Freeman,false,QB,QB,O,Kansas St.,21,2015,0,0,4,37,,36,62,1179,2048,13873,81,68,205,946,4,0,-3,0,,,
2009,1,18,DEN,00-0026994,AyerRo99,robert-ayers-1,Robert Ayers,false,DE,DL,D,Tennessee,24,2017,0,0,5,27,,13,120,0,0,0,0,0,0,0,0,0,0,0,192,,34.5
2009,1,19,PHI,00-0026995,MaclJe00,jeremy-maclin-1,Jeremy Maclin,false,WR,WR,O,Missouri,21,2017,0,0,8,50,,33,114,0,1,0,0,0,10,43,0,514,6835,49,,,
2009,1,20,DET,00-0026996,PettBr00,brandon-pettigrew-1,Brandon Pettigrew,false,TE,TE,O,Oklahoma St.,24,2015,0,0,7,22,,22,93,0,0,0,0,0,0,0,0,301,2965,17,1,,
2009,1,21,CLE,00-0026997,MackAl20,alex-mack-1,Alex Mack,false,C,OL,O,California,23,2021,0,7,12,86,,30,196,0,0,0,0,0,0,0,0,0,0,0,,,
2009,1,22,MIN,00-0026998,HarvPe00,percy-harvin-1,Percy Harvin,false,WR,WR,O,Florida,21,2016,0,1,4,43,,37,75,0,0,0,0,0,146,927,5,353,4026,22,,,
2009,1,23,BAL,00-0026999,OherMi20,michael-oher-1,Michael Oher,false,T,OL,O,Mississippi,23,2016,0,0,7,42,,33,110,0,0,0,0,0,0,0,0,1,-8,0,,,
2009,1,24,ATL,00-0027000,JerrPe99,peria-jerry-1,Peria Jerry,false,DT,DL,D,Mississippi,25,2013,0,0,2,13,,13,64,0,0,0,0,0,0,0,0,0,0,0,51,,5.5
2009,1,25,MIA,00-0027001,DaviVo99,vontae-davis-1,Vontae Davis,false,DB,DB,D,Illinois,21,2018,0,2,8,45,,12,121,0,0,0,0,0,0,0,0,0,0,0,344,22,2.0
2009,1,26,GNB,00-0027002,MattCl99,clay-matthews-1,Clay Matthews,false,LB,LB,D,USC,23,2019,1,6,10,77,,75,156,0,0,0,0,0,0,0,0,0,0,0,383,6,91.5
2009,1,27,IND,00-0027003,BrowDo00,donald-brown-1,Donald Brown,false,RB,RB,O,Connecticut,22,2015,0,0,1,25,,21,89,0,0,0,0,0,695,2829,18,120,1066,2,9,,
