season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2016,1,1,LAR,00-0033106,GoffJa00,jared-goff-1,Jared Goff,false,QB,QB,O,California,21,2025,0,5,8,106,,44,151,3440,5224,39622,256,102,295,596,12,2,12,1,2,,
2016,1,2,PHI,00-0032950,WentCa00,carson-wentz-1,Carson Wentz,false,QB,QB,O,North Dakota St.,23,2025,0,1,6,63,,43,103,2195,3496,23626,159,72,368,1475,11,2,11,0,1,,
2016,1,3,SDG,00-0033156,BosaJo00,joey-bosa-1,Joey Bosa,false,DE,DL,D,Ohio St.,21,2025,0,5,6,62,,56,122,0,0,0,0,0,0,0,0,0,0,0,269,,77.0
2016,1,4,DAL,00-0033045,ElliEz00,ezekiel-elliott-1,Ezekiel Elliott,false,RB,RB,O,Ohio St.,21,2024,1,3,7,68,,65,135,1,1,4,0,0,2139,9130,74,368,2718,14,2,,
2016,1,5,JAX,00-0033055,RamsJa00,jalen-ramsey-1,Jalen Ramsey,false,CB,DB,D,Florida St.,21,2025,3,8,9,84,,28,152,0,0,0,0,0,0,0,0,0,0,0,485,25,6.0
2016,1,6,BAL,00-0032965,StanRo00,ronnie-stanley-2,Ronnie Stanley,false,T,OL,O,Notre Dame,22,2025,1,2,7,64,,64,120,0,0,0,0,0,0,0,0,0,0,0,1,,
2016,1,7,SFO,00-0032378,BuckDe00,deforest-buckner-1,DeForest Buckner,false,DE,DL,D,Oregon,22,2025,1,3,8,76,,34,151,0,0,0,0,0,0,0,0,0,0,0,386,,71.5
2016,1,8,TEN,00-0033057,ConkJa00,jack-conklin-1,Jack Conklin,false,T,OL,O,Michigan St.,22,2025,2,0,6,55,,30,114,0,0,0,0,0,0,0,0,0,0,0,2,,
2016,1,9,CHI,00-0033072,FloyLe00,leonard-floyd-1,Leonard Floyd,false,OLB,LB,D,Georgia,23,2025,0,0,9,63,,21,153,0,0,0,0,0,0,0,0,0,0,0,259,2,70.0
2016,1,10,NYG,00-0032379,ApplEl00,eli-apple-1,Eli Apple,false,CB,DB,D,Ohio St.,21,2025,0,0,5,28,,9,104,0,0,0,0,0,0,0,0,0,0,0,313,6,0.5
2016,1,11,TAM,00-0032758,HargVe00,vernon-hargreaves-iii-1,Vernon Hargreaves III,false,CB,DB,D,Florida,21,2021,0,0,4,18,,10,69,0,0,0,0,0,0,0,0,0,0,0,245,4,
2016,1,12,NOR,00-0032759,RankSh00,sheldon-rankins-1,Sheldon Rankins,false,DT,DL,D,Louisville,22,2025,0,0,5,41,,15,133,0,0,0,0,0,0,0,0,0,0,0,171,1,33.5
2016,1,13,MIA,00-0032380,TunsLa00,laremy-tunsil-1,Laremy Tunsil,false,T,OL,O,Mississippi,22,2025,0,5,8,60,,12,139,0,0,0,0,0,0,0,0,0,0,0,,,
2016,1,14,OAK,00-0032888,JoseKa00,karl-joseph-1,Karl Joseph,false,S,DB,D,West Virginia,22,2021,0,0,4,16,,14,65,0,0,0,0,0,0,0,0,0,0,0,221,5,3.0
2016,1,15,CLE,00-0032966,ColeCo00,corey-coleman-1,Corey Coleman,false,WR,WR,O,Baylor,22,2018,0,0,2,6,,5,27,0,0,0,0,0,3,15,0,61,789,5,,,
2016,1,16,DET,00-0032381,DeckTa00,taylor-decker-1,Taylor Decker,false,T,OL,O,Ohio St.,23,2025,0,1,8,59,,59,140,0,0,0,0,0,0,0,0,3,15,2,,,
2016,1,17,ATL,00-0032382,NealKe01,keanu-neal-1,Keanu Neal,false,S,DB,D,Florida,21,2023,0,1,3,25,,17,89,0,0,0,0,0,0,0,0,0,0,0,361,4,2.5
