season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2024,1,1,CHI,00-0039918,WillCa03,caleb-williams-3,Caleb Williams,false,QB,QB,O,USC,22,2025,0,0,1,26,,26,34,681,1130,7483,47,13,158,877,3,2,22,1,,,
2024,1,2,WAS,00-0039910,DaniJa02,jayden-daniels-1,Jayden Daniels,false,QB,QB,O,LSU,23,2025,0,1,1,26,,26,24,445,668,4830,33,12,206,1169,8,0,0,0,,,
2024,1,3,NWE,00-0039851,MayeDr00,drake-maye-1,Drake Maye,false,QB,QB,O,North Carolina,22,2025,0,2,1,26,,26,30,579,830,6670,46,18,157,871,6,1,2,0,,,
2024,1,4,ARI,00-0039849,HarrMa09,marvin-harrison-jr-1,Marvin Harrison Jr.,false,WR,WR,O,Ohio St.,22,2025,0,0,1,13,,13,29,0,0,0,0,0,0,0,0,103,1493,12,,,
2024,1,5,LAC,00-0039897,AltxJo01,joe-alt-1,Joe Alt,false,OL,OL,O,Notre Dame,21,2025,0,1,1,12,,12,22,0,0,0,0,0,0,0,0,0,0,0,,,
2024,1,6,NYG,00-0039337,NabeMa00,malik-nabers-1,Malik Nabers,false,WR,WR,O,LSU,21,2025,0,1,1,12,,12,19,0,1,0,0,0,5,2,0,127,1475,9,,,
2024,1,7,TEN,00-0039731,LathJC00,jc-latham-1,JC Latham,false,OL,OL,O,Alabama,21,2025,0,0,1,11,,11,30,0,0,0,0,0,0,0,0,1,0,0,,,
2024,1,8,ATL,00-0039917,PeniMi00,michael-penix-jr-1,Michael Penix,false,QB,QB,O,Washington,24,2025,0,0,0,8,,8,14,227,381,2757,12,6,28,81,2,0,0,0,,,
2024,1,9,CHI,00-0039919,OdunRo00,rome-odunze-1,Rome Odunze,false,WR,WR,O,Washington,22,2025,0,0,1,12,,12,29,0,0,0,0,0,3,15,0,98,1395,9,,,
2024,1,10,MIN,00-0039923,McCaJJ00,jj-mccarthy-1,J.J. McCarthy,false,QB,QB,O,Michigan,21,2025,0,0,0,4,,4,10,140,243,1632,11,12,37,181,4,0,0,0,,,
2024,1,11,NYJ,00-0039790,FashOl00,olu-fashanu-1,Olumuyiwa Fashanu,false,OL,OL,O,Penn St.,21,2025,0,0,0,10,,10,32,0,0,0,0,0,0,0,0,0,0,0,,,
2024,1,12,DEN,00-0039732,NixxBo00,bo-nix-1,Bo Nix,false,QB,QB,O,Oregon,24,2025,0,0,1,25,,25,34,764,1179,7706,54,23,175,786,9,1,2,1,,,
2024,1,13,LVR,00-0039338,BoweBr01,brock-bowers-1,Brock Bowers,false,TE,TE,O,Georgia,21,2025,1,2,1,14,,14,29,0,0,0,0,0,7,15,0,176,1874,12,,,
2024,1,14,NOR,00-0039339,FuagTa00,taliese-fuaga-1,Taliese Fuaga,false,OL,OL,O,Oregon St.,22,2025,0,0,1,13,,13,30,0,0,0,0,0,0,0,0,0,0,0,,,
