season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2019,1,1,ARI,00-0035228,MurrKy00,kyler-murray-1,Kyler Murray,false,QB,QB,O,Oklahoma,22,2025,0,2,5,71,,71,87,1974,2941,20460,121,60,532,3193,32,0,7,0,,,
2019,1,2,SFO,00-0035717,BosaNi00,nick-bosa-1,Nick Bosa,false,DE,DL,D,Ohio St.,21,2025,1,5,5,58,,58,85,0,0,0,0,0,0,0,0,0,0,0,192,2,64.5
2019,1,3,NYJ,00-0035718,WillQu00,quinnen-williams-1,Quinnen Williams,false,DT,DL,D,Alabama,21,2025,1,4,6,57,,54,105,0,0,0,0,0,0,0,0,0,0,0,208,2,41.5
2019,1,4,OAK,00-0035692,FerrCl00,clelin-ferrell-1,Clelin Ferrell,false,DE,DL,D,Clemson,22,2025,0,0,4,24,,12,98,0,0,0,0,0,0,0,0,0,0,0,97,,21.0
2019,1,5,TAM,00-0035707,WhitDe02,devin-white-1,Devin White,false,LB,LB,D,LSU,21,2025,0,1,5,51,,45,100,0,0,0,0,0,0,0,0,0,0,0,474,4,25.5
2019,1,6,NYG,00-0035710,JoneDa05,daniel-jones-4,Daniel Jones,false,QB,QB,O,Duke,22,2025,0,0,5,52,,40,83,1698,2625,17683,89,55,444,2343,20,1,16,0,,,
2019,1,7,JAX,00-0035642,AlleJo03,josh-allen-6,Josh Hines-Allen,false,LB,LB,D,Kentucky,22,2025,0,2,5,45,,45,107,0,0,0,0,0,0,0,0,0,0,0,216,2,61.0
2019,1,8,DET,00-0035229,HockTJ00,tj-hockenson-1,T.J. Hockenson,false,TE,TE,O,Iowa,22,2025,0,2,3,33,,16,97,0,0,0,0,0,2,0,0,433,4440,26,2,,
2019,1,9,BUF,00-0035230,OlivEd00,ed-oliver-2,Ed Oliver,false,DT,DL,D,Houston,21,2025,0,0,5,43,,43,95,0,0,0,0,0,0,0,0,0,0,0,154,1,30.0
2019,1,10,PIT,00-0035525,BushDe01,devin-bush-2,Devin Bush Jr.,false,LB,LB,D,Michigan,21,2025,0,0,3,37,,21,98,0,0,0,0,0,0,0,0,0,0,0,299,5,7.0
2019,1,11,CIN,00-0035944,WillJo10,jonah-williams-1,Jonah Williams,false,G,OL,O,Alabama,21,2025,0,0,4,37,,31,74,0,0,0,0,0,0,0,0,0,0,0,,,
2019,1,12,GNB,00-0034967,GaryRa00,rashan-gary-1,Rashan Gary,false,LB,LB,D,Michigan,21,2025,0,1,4,36,,36,106,0,0,0,0,0,0,0,0,0,0,0,154,,46.5
2019,1,13,MIA,00-0035231,WilkCh00,christian-wilkins-1,Christian Wilkins,false,DT,DL,D,Clemson,23,2024,0,0,5,35,,34,86,0,0,0,0,0,0,0,0,2,2,2,215,1,22.5
2019,1,14,ATL,00-0035630,LindCh00,chris-lindstrom-1,Chris Lindstrom,false,G,OL,O,Boston Col.,22,2025,0,4,5,49,,49,105,0,0,0,0,0,0,0,0,0,0,0,2,,
2019,1,15,WAS,00-0035232,HaskDw00,dwayne-haskins-1,Dwayne Haskins,false,QB,QB,O,Ohio St.,22,2020,0,0,0,4,,4,16,267,444,2804,12,14,40,147,1,0,0,0,,,
2019,1,16,CAR,00-0035713,BurnBr00,brian-burns-2,Brian Burns,false,DE,DL,D,Florida St.,21,2025,0,3,5,53,,34,114,0,0,0,0,0,0,0,0,0,0,0,232,,71.0
2019,1,17,NYG,00-0035683,LawrDe03,dexter-lawrence-1,Dexter Lawrence,false,DT,DL,D,Clemson,21,2025,0,3,5,55,,55,109,0,0,0,0,0,0,0,0,0,0,0,185,1,30.5
