season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2002,1,1,HOU,00-0020608,CarrDa00,david-carr-1,David Carr,false,QB,QB,O,Fresno St.,23,2012,0,0,5,45,,42,94,1353,2267,14452,65,71,305,1328,9,0,0,0,,,
2002,1,2,CAR,00-0021140,PeppJu99,julius-peppers-1,Julius Peppers,true,DE,DL,D,North Carolina,22,2018,3,9,16,130,,75,266,0,0,0,0,0,0,0,0,0,0,0,557,11,159.5
2002,1,3,DET,00-0021141,HarrJo00,joey-harrington-1,Joey Harrington,false,QB,QB,O,Oregon,23,2007,0,0,6,31,,23,81,1424,2538,14693,79,85,142,402,0,3,8,0,,,
2002,1,4,BUF,00-0021142,WillMi22,mike-williams-6,Mike Williams,false,T,OL,O,Texas,22,2009,0,0,4,24,,21,59,0,0,0,0,0,0,0,0,0,0,0,,,
2002,1,5,SDG,00-0021381,JammQu20,quentin-jammer-1,Quentin Jammer,false,DB,DB,D,Texas,23,2013,0,0,10,52,,51,183,0,0,0,0,0,0,0,0,0,0,0,631,21,
2002,1,6,KAN,00-0021382,SimsRy20,,Ryan Sims,false,DT,DL,D,North Carolina,22,2010,0,0,3,22,,14,105,0,0,0,0,0,0,0,0,0,0,0,115,1,8.5
2002,1,7,MIN,00-0021383,McKiBr21,bryant-mckinnie-1,Bryant McKinnie,false,T,OL,O,Miami (FL),22,2013,0,1,11,64,,52,179,0,0,0,0,0,0,0,0,0,0,0,,,
2002,1,8,DAL,00-0021143,WillRo03,roy-williams-2,Roy Williams,false,DB,DB,D,Oklahoma,22,2010,1,5,7,59,,54,114,0,0,0,0,0,0,0,0,0,0,0,473,20,7.5
2002,1,9,JAX,00-0021144,HendJo99,john-henderson-1,John Henderson,false,DT,DL,D,Tennessee,23,2011,0,2,8,64,,62,146,0,0,0,0,0,0,0,0,0,0,0,382,,29.0
2002,1,10,CIN,00-0021145,JoneLe23,,Levi Jones,false,T,OL,O,Arizona St.,23,2009,0,0,7,42,,39,103,0,0,0,0,0,0,0,0,0,0,0,,,
2002,1,11,IND,00-0021146,FreeDw00,dwight-freeney-1,Dwight Freeney,true,DE,DL,D,Syracuse,22,2017,3,7,11,81,,77,218,0,0,0,0,0,0,0,0,0,0,0,299,,125.5
2002,1,12,ARI,00-0021384,BryaWe20,,Wendell Bryant,false,DT,DL,D,Wisconsin,21,2004,0,0,0,4,,4,29,0,0,0,0,0,0,0,0,0,0,0,33,,1.5
2002,1,13,NOR,00-0021147,StalDo00,donte-stallworth-1,Donte' Stallworth,false,WR,WR,O,Tennessee,21,2012,0,0,4,39,,22,115,0,0,0,0,0,20,98,0,321,4837,35,2,,
2002,1,14,NYG,00-0021148,ShocJe00,jeremy-shockey-1,Jeremy Shockey,false,TE,TE,O,Miami (FL),22,2011,1,4,10,48,,35,136,0,0,0,0,0,1,6,0,547,6143,37,,,
2002,1,15,TEN,00-0021149,HaynAl20,,Albert Haynesworth,false,DT,DL,D,Tennessee,21,2011,2,2,7,55,,48,123,0,0,0,0,0,0,0,0,0,0,0,262,,30.5
2002,1,16,CLE,00-0021150,GreeWi01,william-green-1,William Green,false,RB,RB,O,Boston Col.,22,2005,0,0,3,14,,14,46,0,0,0,0,0,568,2109,9,45,277,0,1,,
2002,1,17,OAK,00-0021151,BuchPh20,phillip-buchanon-1,Phillip Buchanon,false,DB,DB,D,Miami (FL),21,2011,0,0,5,34,,15,122,0,0,0,0,0,0,0,0,0,0,0,350,20,1.0
2002,1,18,ATL,00-0021376,DuckT.00,tj-duckett-1,T.J. Duckett,false,RB,RB,O,Michigan St.,21,2008,0,0,1,22,,18,93,0,1,0,0,0,717,2814,44,35,303,0,,,
2002,1,19,DEN,00-0021152,LeliAs00,ashley-lelie-1,Ashley Lelie,false,WR,WR,O,Hawaii,22,2008,0,0,4,35,,30,107,0,0,0,0,0,20,172,0,217,3749,15,,,
2002,1,20,GNB,00-0021153,WalkJa00,javon-walker-1,Javon Walker,false,WR,WR,O,Florida St.,23,2009,0,1,3,40,,25,83,0,0,0,0,0,14,132,1,267,4011,31,1,,
2002,1,21,NWE,00-0021154,GrahDa00,daniel-graham-1,Daniel Graham,false,TE,TE,O,Colorado,23,2012,0,0,7,19,,13,148,0,0,0,0,0,0,0,0,224,2490,25,6,,
2002,1,22,NYJ,00-0021081,ThomBr21,bryan-thomas-1,Bryan Thomas,false,DE,DL,D,Ala-Birmingham,23,2012,0,0,7,49,,49,157,0,0,0,0,0,0,0,0,0,0,0,329,,33.5
2002,1,23,OAK,00-0021155,HarrNa20,napoleon-harris-1,Napoleon Harris,false,LB,LB,D,Northwestern,23,2008,0,0,6,33,,14,100,0,0,0,0,0,0,0,0,0,0,0,349,4,8.5
2002,1,24,BAL,00-0021377,ReedEd00,ed-reed-1,Ed Reed,true,DB,DB,D,Miami (FL),23,2013,5,9,11,102,,100,174,0,0,0,0,0,0,0,0,0,0,0,534,64,6.0
2002,1,25,NOR,00-0021156,GranCh21,charles-grant-1,Charles Grant,false,DE,DL,D,Georgia,24,2009,0,0,7,46,,46,118,0,0,0,0,0,0,0,0,0,0,0,335,1,47.0
2002,1,26,PHI,00-0021157,ShepLi99,lito-sheppard-1,Lito Sheppard,false,DB,DB,D,Florida,21,2011,1,2,7,48,,42,126,0,0,0,0,0,0,0,0,0,0,0,306,19,3.0
2002,1,27,SFO,00-0021158,RumpMi20,mike-rumph-1,Mike Rumph,false,DB,DB,D,Miami (FL),22,2006,0,0,1,8,,8,43,0,0,0,0,0,0,0,0,0,0,0,124,3,2.0
2002,1,28,SEA,00-0021159,StevJe00,jerramy-stevens-1,Jerramy Stevens,false,TE,TE,O,Washington,22,2010,0,0,2,18,,13,121,0,0,0,0,0,0,0,0,202,2217,22,1,,
2002,1,29,CHI,00-0021160,ColoMa20,,Marc Colombo,false,T,OL,O,Boston Col.,23,2011,0,0,6,42,,2,111,0,0,0,0,0,0,0,0,0,0,0,,,
2002,1,30,PIT,00-0021161,SimmKe20,,Kendall Simmons,false,G,OL,O,Auburn,23,2009,0,0,5,35,,34,84,0,0,0,0,0,0,0,0,0,0,0,,,
2002,1,31,STL,00-0021162,ThomRo20,robert-thomas-1,Robert Thomas,false,LB,LB,D,UCLA,22,2008,0,0,5,21,,13,84,0,0,0,0,0,0,0,0,0,0,0,246,1,2.0
2002,1,32,WAS,00-0021379,RamsPa00,patrick-ramsey-1,Patrick Ramsey,false,QB,QB,O,Tulane,23,2008,0,0,1,14,,13,37,511,913,5930,35,30,47,89,2,0,0,0,,,
2002,2,33,HOU,00-0021163,GaffJa00,jabar-gaffney-1,Jabar Gaffney,false,WR,WR,O,Florida,21,2012,0,0,6,42,,14,158,1,5,39,1,0,9,56,0,447,5690,24,,,
2002,2,34,CAR,00-0021164,FostDe00,deshaun-foster-1,DeShaun Foster,false,RB,RB,O,UCLA,22,2008,0,0,3,32,,30,79,0,1,0,0,0,927,3570,11,142,1129,5,1,,
2002,2,35,DET,00-0021165,EdwaKa20,kalimba-edwards-1,Kalimba Edwards,false,DE,DL,D,South Carolina,22,2008,0,0,2,20,,15,101,0,0,0,0,0,0,0,0,0,0,0,167,,31.0
2002,2,36,BUF,00-0021166,ReedJo01,josh-reed-1,Josh Reed,false,WR,WR,O,LSU,22,2009,0,0,3,27,,27,115,0,0,0,0,0,14,57,0,311,3575,10,3,,
2002,2,37,DAL,00-0021385,GuroAn20,andre-gurode-1,Andre Gurode,false,G,OL,O,Colorado,24,2013,0,5,8,65,,62,161,0,0,0,0,0,0,0,0,0,0,0,,,
2002,2,38,MIN,00-0021167,SmitRa20,raonall-smith-1,Raonall Smith,false,LB,LB,D,Washington St.,23,2007,0,0,0,6,,5,50,0,0,0,0,0,0,0,0,0,0,0,77,1,2.5
2002,2,39,SDG,00-0021168,FonoTo20,,Toniu Fonoti,false,G,OL,O,Nebraska,20,2006,0,0,2,17,,17,40,0,0,0,0,0,0,0,0,0,0,0,,,
2002,2,40,JAX,00-0021169,PearMi20,mike-pearson-1,Mike Pearson,false,T,OL,O,Florida,22,2005,0,0,2,17,,17,40,0,0,0,0,0,0,0,0,0,0,0,,,
2002,2,41,CIN,00-0021170,ThomLa21,lamont-thompson-1,Lamont Thompson,false,DB,DB,D,Washington St.,24,2007,0,0,3,17,,1,83,0,0,0,0,0,0,0,0,0,0,0,207,9,1.0
2002,2,42,IND,00-0021171,TripLa20,,Larry Tripplett,false,DT,DL,D,Washington,23,2007,0,0,4,27,,14,92,0,0,0,0,0,0,0,0,0,0,0,147,1,8.5
2002,2,43,KAN,00-0021082,FreeEd20,,Eddie Freeman,false,DE,DL,D,Ala-Birmingham,24,2003,0,0,0,1,,1,20,0,0,0,0,0,0,0,0,0,0,0,15,,4.0
